Store ID,Store Name,Industry,City,Merchant,Device ID,Device Type,Device description,Int Device description,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25
3510,147 Club,Leisure - Fun,Colchester,,8WNS,Mini,Mini,,0 ,0 ,0 ,0 ,4 ,3 ,3 ,4 ,2 ,9 ,7 ,3 ,7 ,7 ,14 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2141,17 & Central,Shopping Centre,London,Capital & Regional PLC,CDNP,Max,,,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2141,17 & Central,Shopping Centre,London,Capital & Regional PLC,QQZJ,Max,Mall by the stairs to the toilets,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,19 ,19 ,10 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1412,1st Joos Ever,Hairdresser,London,Test Anuraj,JUDN,Mini,,,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1412,1st Joos Ever,Hairdresser,London,Test Anuraj,KLR9,Mini,,,17 ,1 ,8 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1412,1st Joos Ever,Hairdresser,London,Test Anuraj,LRMN,Mini,,,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1412,1st Joos Ever,Hairdresser,London,Test Anuraj,RW2H,Mini,,,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
3822,226 Gallowgate,Bar,Glasgow,,5CQD,Mini,Majors,Ambulatory,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
3452,3 Jolly Butchers,Pub,Brighton,,YZUE,Mini,,,0 ,0 ,0 ,0 ,8 ,13 ,13 ,6 ,16 ,10 ,7 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
59,50 Kalo di Ciro Salvo Pizzeria,Restaurant,London,,GEF6,Mini,,,4 ,10 ,6 ,15 ,14 ,19 ,22 ,16 ,10 ,14 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
59,50 Kalo di Ciro Salvo Pizzeria,Restaurant,London,,QRSF,Mini,On the reception desk,Entrance,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,31 ,26 ,26 ,29 ,6 ,25 ,35 ,10 ,37 ,30 ,41 ,70 ,51 ,73 ,51 ,40 ,38 ,44 ,43 ,81 ,76 ,80 ,54 ,66 ,72 ,65 ,46 ,45 ,54 ,68 ,46 ,59 ,32 
3089,53 Two,Event Space/Conference Centre,Manchester,,B3VM,Mini,,,0 ,8 ,14 ,20 ,26 ,14 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
3089,53 Two,Event Space/Conference Centre,Manchester,,ZYXA,Mini,I’m the right side as you enter ,Entrance,0 ,1 ,0 ,0 ,0 ,0 ,12 ,9 ,12 ,13 ,15 ,4 ,4 ,15 ,10 ,12 ,10 ,8 ,14 ,7 ,7 ,6 ,12 ,14 ,12 ,7 ,8 ,6 ,16 ,7 ,10 ,9 ,8 ,14 ,17 ,11 ,9 ,10 ,9 ,7 ,11 ,7 ,4 
